PSRJ|S728|e_S728|S1382|e_S1382|S3100|e_S3100
 |mJy|mJy|mJy|mJy|mJy|mJy
-----------|-------|------|--------|------|-------|------
J1551-5310 |   0.90|      |   0.720| 0.040|  0.240| 0.010
J1600-5044 |  84.00|  5.00|  21.000| 1.000|  3.600| 0.200
J1600-5751 |   9.20|  0.50|   2.500| 0.100|  0.540| 0.070
J1601-5335 |   0.50|  0.10|   0.250| 0.020|  0.060| 0.010
J1604-4909 |  23.00|  6.00|        |      |  2.700| 0.800
J1610-5303 |   2.60|  0.40|        |      |  0.010|
J1611-4949 |   1.00|      |        |      |  0.340| 0.050
J1611-5209 |   2.60|  0.20|   1.450| 0.090|  0.490| 0.070
J1613-4714 |   8.00|  2.00|        |      |  0.360| 0.090
J1614-5048 |   6.00|  1.00|   4.100| 0.200|  0.670| 0.040
J1617-5055 |   0.10|      |   0.270| 0.020|  0.240| 0.010
J1618-4723 |   2.20|  0.50|        |      |  0.030|
J1622-4802 |       |      |        |      |  0.320| 0.060
J1625-4048 |   3.30|  0.80|        |      |  1.000|
J1626-4537 |   4.40|  0.90|        |      |  0.290| 0.060
J1626-4807 |   0.30|      |   0.370| 0.020|  0.260| 0.020
J1627-4706 |   0.09|      |   0.180| 0.010|  0.061| 0.005
J1630-4733 |   1.00|      |        |      |  3.400| 0.400
J1632-4621 |       |      |        |      |  0.210| 0.020
J1632-4757 |   0.30|      |   0.510| 0.030|  0.200| 0.010
J1632-4818 |   0.10|      |   0.480| 0.030|  0.101| 0.006
J1633-5015 |  27.00|  4.00|        |      |  1.200| 0.200
J1635-5954 |   3.40|  0.80|        |      |  0.400| 0.100
J1636-4440 |   0.20|      |   0.290| 0.020|  0.160| 0.020
J1636-4803 |       |      |        |      |  0.370| 0.040
J1637-4553 |   3.00|  0.40|   1.500| 0.090|  0.370| 0.030
J1637-4642 |   0.20|      |   0.930| 0.050|  0.530| 0.030
J1638-4417 |   0.08|      |   0.300| 0.020|  0.070| 0.020
J1638-4608 |   0.30|      |   0.450| 0.020|  0.121| 0.009
J1639-4359 |   4.90|  0.90|        |      |  0.190| 0.040
J1639-4604 |   4.90|  0.90|        |      |  0.150| 0.030
J1640-4715 |   4.00|  2.00|   1.560| 0.080|  0.600| 0.030
J1643-4505 |   0.40|      |   0.450| 0.020|  0.270| 0.020
J1644-4559 |1200.00| 60.00| 300.000|60.000| 61.000| 3.000
J1646-4346 |   0.40|      |   1.250| 0.080|  0.390| 0.040
J1646-6831 |   8.00|  2.00|        |      |  0.700| 0.400
J1648-4611 |   0.07|      |   0.610| 0.030|  0.460| 0.030
J1649-4349 |       |      |        |      |  0.070|
J1649-4653 |   0.10|      |   0.370| 0.020|  0.130| 0.010
J1650-4502 |   2.00|      |   0.610| 0.040|  0.270| 0.030
J1650-4921 |   0.30|      |   0.290| 0.020|  0.310| 0.030
J1651-4246 |  80.00|  8.00|        |      |  2.800| 0.300
J1651-5222 |  11.00|  3.00|        |      |  1.700| 0.400
J1651-5255 |   9.00|  2.00|        |      |  0.700| 0.200
J1653-3838 |   2.60|  0.50|        |      |  0.900| 0.200
J1653-4249 |   0.28|  0.06|        |      |  2.000| 1.000
J1654-4140 |   5.00|      |        |      |  0.100| 0.020
J1658-4958 |   3.70|  0.80|        |      |  0.230| 0.060
J1700-3312 |   3.90|  0.90|        |      |  0.310| 0.080
J1701-3726 |  14.00|  2.00|        |      |  0.900| 0.200
J1701-4533 |   5.20|  0.70|        |      |  0.600| 0.100
J1702-4128 |   1.00|      |   1.170| 0.070|  0.940| 0.060
J1702-4306 |       |      |   0.460| 0.040|       |
J1702-4310 |       |      |   0.920| 0.060|  0.420| 0.070
J1703-3241 |  30.00|  8.00|        |      |  1.900| 0.600
J1703-4851 |   5.00|  1.00|        |      |  0.090|
J1704-6016 |   0.10|      |        |      |       |
J1705-3423 |  15.00|  4.00|        |      |  1.600| 0.400
J1705-3950 |       |      |   1.600| 0.100|  1.100| 0.200
J1705-4108 |       |      |        |      |  1.000| 0.100
J1707-4053 |  22.00|  4.00|        |      |  1.500| 0.300
J1707-4729 |   2.00|      |        |      |  0.800| 0.200
J1708-3426 |   9.00|  2.00|        |      |  0.240| 0.060
J1709-4429 |       |      |  12.100| 0.700|  5.000| 1.000
J1711-5350 |   4.00|  1.00|        |      |  0.190| 0.060
J1715-3903 |       |      |   0.660| 0.050|  0.330| 0.040
J1715-4034 |   6.00|  1.00|        |      |  0.260| 0.060
J1717-3425 |  19.00|  2.00|        |      |  0.600| 0.090
J1717-4054 |  20.00|  3.00|   0.060|      |  1.000| 0.200
J1718-3825 |       |      |   1.700| 0.100|  1.100| 0.200
J1719-4006 |   3.60|  0.60|        |      |  0.410| 0.070
J1720-1633 |   5.00|  2.00|        |      |  0.100|
J1721-3532 |       |      |  16.800| 0.900|  8.000| 0.700
J1722-3207 |  17.00|  4.00|        |      |  1.100| 0.300
J1722-3712 |       |      |   3.800| 0.300|  0.600| 0.200
J1723-3659 |       |      |   2.100| 0.100|  0.710| 0.090
J1726-3530 |       |      |   0.390| 0.030|  0.180| 0.060
J1727-2739 |   7.00|  2.00|        |      |  0.700| 0.200
J1730-2304 |   6.00|  3.00|   3.000| 1.000|  0.100| 0.100
J1730-3350 |       |      |   4.300| 0.200|  0.900| 0.100
J1731-4744 |       |      |  27.000| 3.000|  7.000| 2.000
J1733-3322 |   0.20|      |        |      |  0.350| 0.060
J1733-3716 |       |      |   3.600| 0.200|  2.100| 0.300
J1734-3333 |       |      |   0.490| 0.060|  0.370| 0.080
J1735-3258 |       |      |   0.350| 0.060|  0.390| 0.050
J1737-3137 |       |      |   0.880| 0.060|  0.200| 0.020
J1737-3555 |   2.50|  0.80|        |      |  0.280| 0.090
J1738-2955 |       |      |   0.240| 0.020|  0.040| 0.010
J1738-3211 |   5.00|  2.00|        |      |  0.800| 0.400
J1739-2903 |       |      |   4.500| 0.300|  1.400| 0.300
J1739-3023 |       |      |   1.010| 0.070|  0.160| 0.030
J1740-3015 |  18.00|  2.00|   8.900| 0.500|  3.400| 0.200
